Name,Birth,Death,Number,Canonized
John the Baptist ,0,31,1,31
John the Apostle,6,100,2,100
Ignatius of Antioch,35,107,3,107
Polycarp,69,155,4,155
Justin Martyr,100,165,5,165
Felicitas of Rome,101,165,6,165
Irenaeus,130,202,7,202
Clement of Alexandria,150,217,8,217
Lawrence of Rome,225,258,9,258
Sebastian,257,288,10,288
Mamilian,273,295,11,295
Agnes,291,304,12,304
Athanasius,298,373,13,373
Ephrem,306,373,14,373
Cyril of Jerusalem,315,386,15,386
Martin of Tours,316,397,16,397
Gregory Nazianzus,329,389,17,389
Basil,330,379,18,379
Monica,331,387,19,387
Ambrose,340,397,20,397
Jerome,347,420,21,420
John Chrysostom,347,407,22,407
Agustine,354,430,23,430
Cyril of Alexandria,376,444,24,444
Patrick,387,461,25,461
Leo the Great ,400,461,26,461
Peter Chrysologus,406,450,27,450
Genevieve ,422,512,28,512
Benedict,480,543,29,543
Gregory the Great,540,604,30,604
Isidore,560,636,31,636
Bede the Venerable,672,735,32,735
John Damascene,676,749,33,749
Charlemagne,742,814,34,814
Ignatius of Constantinople,797,877,35,877
Alfred the Great,849,899,36,899
Matilda,895,968,37,968
Wenceslaus,907,935,38,935
Vladimir I of Kiev,956,1015,39,1015
Peter Damian,1007,1072,40,1072
Anselm,1033,1109,41,1163
Bernard of Clairvaux,1090,1153,42,1174
Hildegarde of Bingen,1098,1179,43,2012
Thomas Becket,1118,1170,44,1173
Dominic,1170,1221,45,1234
Francis of Assisi,1181,1226,46,1228
Clare of Assisi,1194,1253,47,1255
Anthony of Padua,1195,1231,48,1232
Agnes of Prague,1205,1282,49,1989
Bonaventure,1221,1274,50,1482
Thomas Aquinas,1225,1274,51,1323
Margaret of Cortona,1247,1297,52,1728
Elizabeth of Portugal,1271,1336,53,1625
Catherine of Siena,1347,1380,54,1461
Rita of Cascia ,1381,1457,55,1900
Juan Diego Cuauhtlatoatzin,1474,1548,56,2002
Thomas More,1478,1535,57,1935
Ignatius of Loyola,1491,1556,58,1622
Teresa of Avila,1515,1582,59,1622
Peter Canisius,1521,1597,60,1925
John of the Cross,1542,1591,61,1726
Robert Bellarmine,1542,1621,62,1930
Stanislaus Kostka,1550,1568,63,1726
Francis de Sales,1567,1622,64,1665
Vincent de Paul,1581,1660,65,1737
Rose of Lima,1586,1617,66,1671
Louise de Marillac,1591,1660,67,1934
Lorenzo Ruiz,1600,1637,68,1987
Joseph of Cupertino,1603,1663,69,1767
Crispin of Viterbo ,1668,1750,70,1982
Alphonsus Liguori,1696,1787,71,1839
Junipero Serra ,1713,1784,72,2016
Gerard Majella,1726,1755,73,1904
Julie Billiart,1751,1816,74,1969
Theodore Guerin ,1798,1856,75,2006
Benedetto Menni,1841,1914,76,1999
Bernadette Soubirous,1844,1879,77,1933
Andre Bessette,1845,1937,78,2010
Josephine Bakhita ,1869,1947,79,2000
Therese of Lisieux,1873,1897,80,1925
Gemma Galgani ,1878,1903,81,1940
Giuseppe Moscati,1880,1927,82,1987
Pope John XXIII ,1881,1963,83,2014
Maria Goretti,1890,1902,84,1950
Edith Stein ,1891,1942,85,1998
Richard Pampuri ,1897,1930,86,1989
Josemaria Escriva,1902,1975,87,2002
Mother Teresa of Calcutta ,1910,1997,88,2016
John Paul II,1920,2005,89,2014
Gianna Beretta Molla,1922,1962,90,2004
